Action,Target,Timestamp,x_Coordinates,y_Coordinates,browser,browserVersion,microtime,scrnwidth,scrnheight,ipAddress,inputValue,url,starttime,endtime,ctrl,alt,shift,meta
session_end,Page,2024-01-18T16:06:20.403Z,,,Chrome,120.0.0.0,3637895.5999999046,1536,864,,,,2024-01-18T15:05:57.871Z,2024-01-18T21:36:20.399Z,False,False,False,False
session_end,Page,2024-08-04T07:30:13.562Z,,,Chrome,126.0.0.0,3519.5999999940395,1536,864,,,,2024-08-04T07:30:13.397Z,2024-08-04T13:00:13.562Z,False,False,False,False
